,date,time,tweet,sentiment
0,2023-01-01,,"resuelto, muchisimas gracias , excelente servicio como siempre",0.9996077922646157
1,2023-01-02,,"muchas gracias, espero su dm",0.29367788125013394
2,2023-01-02,,muchas gracias!,0.47056419380391146
3,2023-01-02,,algo similar me paso. queria renovar mi token para poder hacer una transferencia antes de cerrar la cuenta y wow. fue mas facil sacar el dinero por ventanilla.,9.935439468070595e-08
4,2023-01-02,,yeeeei! a traves de mi cuenta en acabo de contratar mi cuenta de ahorro con mi reto de 2023 para tener 25 mil pesos al final del ano. tiene una super herramienta para domiciliar a mi cuenta eje y asi ahorrar disciplinadamente cada semana! vamos !!!,3.471660571993634e-05
5,2023-01-02,,esta es la senal que necesitan para tener el minimo dinero en banamex,0.00898766446323276
6,2023-01-03,,gracias,0.5533970533999424
7,2023-01-03,,muchas gracias,0.47056419380391146
8,2023-01-03,,"yo no se mucho, pero te recomiendo la inversion de . de los mejores rendimientos que he visto, y plazo a 7 dias. tambien el de esta chingon, pero tienen un limite de 20k en inverson.",7.211482697126046e-06
9,2023-01-04,,gracias por la playera que me dieron en galerias gdl.,0.006066515316924574
10,2023-01-04,,buen dia...tengo problemas con mi cuenta,0.06870956152275114
11,2023-01-05,,gracias,0.5533970533999424
12,2023-01-05,,mis respetos para ustedes... gracias por el servicio,0.06089102791163954
13,2023-01-05,,"si ya la bloquee y desbloquee y pude hacer el deposito en oxxo, gracias",0.06050998524162458
14,2023-01-06,,"ya todo bien, gracias",0.6005644701956069
15,2023-01-06,,milagro que me gano algo,0.05203162237216902
16,2023-01-06,,siii amigo jajaja esta muy padre y puedes inveir y te da buen rendimiento,0.7172547237214295
17,2023-01-06,,nunca habia ganado nada antes hahaha,0.002924020940066625
18,2023-01-06,,con el cashback de pude pagar mi servicio de internet. yei :),0.02902587206878984
19,2023-01-07,,gracias!!!,0.5533970533999424
20,2023-01-07,,"listo, gracias",0.41038161275853924
21,2023-01-07,,si gracias,0.38293355619770625
22,2023-01-08,,a mi me llego una semana despues aprox,0.023517327645940108
23,2023-01-09,,hola buen dia tengo algunas dudas con mi cuenta podrian ponerse en contacto... muchas gracias..,0.0018280964738955823
24,2023-01-10,,muchas gracias!,0.47056419380391146
25,2023-01-10,,muchas gracias,0.47056419380391146
26,2023-01-10,,"bloquea la tarjeta 5 minutos o mas, posteriomente la vuelves a desbloquear y ya la agregas. esa es la solucion, me confirmas con un tweet por favor.",6.755378948756967e-06
27,2023-01-10,,"es de 35,000 udis (184,000).de todas las plataformas en las que he inveido las mejores son finsus y cetes para largo plazo y heybanco es para mi la mejor opcion para tu fondo de emergencia , ya que tienes liquidez semanal. en finsus tengo al rededor del 90% de mi poafolio.",0.018132321332969416
28,2023-01-11,,excelente gracias por responder estaremos muy atentos,0.9993149872679127
29,2023-01-11,,"pues bueno, me quede sin cena, muchas gracias",0.0678347189264592
30,2023-01-11,,"gracias e igualmente, bendiciones",0.5533970533999424
31,2023-01-11,,vale estoy esperando,0.04214430260609901
32,2023-01-11,,muchas gracias espero la respuesta,0.06373491706004761
33,2023-01-13,,me gane 99 pesitos de credito en amazon coesia de que agradables sujetos,0.19661181168024847
34,2023-01-13,,es mejor,0.6348229712378677
35,2023-01-13,,contestenme por favor,0.010320231446011024
36,2023-01-14,,muchas gracias que amables,0.6246938650683156
37,2023-01-14,,"heybanco muchos anos como cliente de bancomer y me encontre con y la verdad estoy muy agusto con los servicios, la app y las tarjetas debito y credito",0.02012246307475199
38,2023-01-14,,amigos les mande dm gracias,0.11867764920067458
39,2023-01-14,,solicito su ayuda gracias,0.33808451846593174
40,2023-01-15,,gracias!ya respondi.quedo atenta,0.36837440874654487
41,2023-01-16,,va gracias,0.3027439422507404
42,2023-01-16,,no se ni a que le pique pero muchas gracias,3.653664420312364e-05
43,2023-01-16,,"planeacion de temporada 2023 de los equipos, gracias a por la ocnfianza desde el dia 1 y se viene la bomba de patrocinio con vamos por el doblete!!!}@davilacarloss",0.00023443654210492644
44,2023-01-16,,por eso son mi banco 1,0.026358057829646783
45,2023-01-17,,gracias,0.5533970533999424
46,2023-01-17,,thanks!,0.49789225920557484
47,2023-01-17,,muchas gracias!,0.47056419380391146
48,2023-01-17,,"muchas gracias, me ayudo lo suficiente, el cargo ya no procedio, se poaron muy bn aun cuando no me pude comunicar por telefono, fueron muy amables, mil gracias por su interes se hizo cargo de todo",6.2350346874163495e-06
49,2023-01-17,,"increible, gracias heybanco!!@heybanco",0.7650136407925322
50,2023-01-17,,me contestaron que si.,0.03126816183791443
51,2023-01-18,,gracias,0.5533970533999424
52,2023-01-18,,gracias!,0.5533970533999424
53,2023-01-18,,graciaaas.,0.49789225920557484
54,2023-01-18,,"gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estare pidiendo su apoyo.",3.2927490443905087e-06
55,2023-01-18,,"la sexta opcion esta opcion es de las mejores, su pagare a 7 dias es el mejor del mercado con tasa del 10% anual solo que la inversion aqui es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tu dinero disponible en cualquier momento",0.07338817287633852
56,2023-01-18,,que buena onda por vos david a disfrutarlo!!!,0.33321727343394436
57,2023-01-19,,gracias,0.5533970533999424
58,2023-01-19,,"hola!, me pueden apoyar por favor",0.0001530059915068367
59,2023-01-19,,"eso se agradece, el aviso",0.11502609794242989
60,2023-01-19,,"gracias, ya se ve reflejado. solucionado. gracias",0.04158471692797913
61,2023-01-20,,"listo, gracias!",0.41038161275853924
62,2023-01-20,,muchas gracias!,0.47056419380391146
63,2023-01-20,,los tkm,0.37874993579954885
